antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'469455'}),frozenset({'435204'}),0.044585987261146494,0.052610461908821904,0.02557801293946537,0.5736782902137234,10.904262562985158,1.0,0.023232323554995604,2.2222408954170385,0.9506797385620915,0.35714285714285726,0.5500037812901764,0.5299278009695881
"frozenset({'1787079', '435204'})",frozenset({'469455'}),0.02648076633732885,0.044585987261146494,0.01339084206830834,0.5056818181818182,11.34172077922078,1.0,0.012210170957726798,1.9327915660004396,0.9366327097053159,0.23217391304347826,0.4826136363636364,0.4030096379997955
"frozenset({'1787079', '469455'})",frozenset({'435204'}),0.020813481117408095,0.052610461908821904,0.01339084206830834,0.6433734939759036,12.229002951749802,1.0,0.012295835212790956,2.6565314750529656,0.9377449208771764,0.2230576441102757,0.623569301026233,0.448950807998438
"frozenset({'435204', '469455'})",frozenset({'1787079'}),0.02557801293946537,0.1344601033151111,0.01339084206830834,0.5235294117647058,3.8935669306887237,1.0,0.009951619805872577,1.8165652152645813,0.7626737744631706,0.09131326949384404,0.44951054242533717,0.3115595585492682
"frozenset({'435204', '469455'})",frozenset({'435225'}),0.02557801293946537,0.0802447464767541,0.013089924269020512,0.5117647058823529,6.377547794117646,1.0,0.011037423105313977,1.8838360614331542,0.86533343035621,0.14115738236884803,0.4691682463922915,0.33744485294117643
"frozenset({'435204', '435225'})",frozenset({'469455'}),0.01991072771954461,0.044585987261146494,0.013089924269020512,0.6574307304785894,14.745232097876933,1.0,0.01220218481655674,2.7889659048332702,0.9511189378530809,0.25463414634146336,0.6414441645675902,0.4755095159704533
"frozenset({'469455', '435225'})",frozenset({'435204'}),0.017453232358694018,0.052610461908821904,0.013089924269020512,0.7499999999999999,14.255719733079122,1.0,0.012171701652827622,3.7895581523647106,0.9463699317713916,0.22975352112676053,0.7361169931180518,0.49940419447092466
"frozenset({'435204', '470043'})",frozenset({'469455'}),0.016149255228446763,0.044585987261146494,0.011334570439841516,0.7018633540372671,15.741792369121562,1.0,0.010614539951948986,3.2046178343949046,0.9518464434631151,0.22944162436548224,0.6879503105590062,0.4780407883797134
"frozenset({'469455', '470043'})",frozenset({'435204'}),0.01680124379357039,0.052610461908821904,0.011334570439841516,0.6746268656716418,12.823055361894058,1.0,0.01045064924321905,2.9117017913811436,0.9377711881086215,0.1951640759930915,0.6565582358193153,0.4450350724926369
"frozenset({'469455', '435225'})",frozenset({'470043'}),0.017453232358694018,0.06534931541200661,0.010833040774361804,0.6206896551724138,9.498028422473338,1.0,0.00969248398799447,2.4640790775501644,0.910608045644542,0.1505226480836237,0.5941688685599248,0.3932304760896605
"frozenset({'469455', '470043'})",frozenset({'435225'}),0.01680124379357039,0.0802447464767541,0.010833040774361804,0.6447761194029851,8.035119402985075,1.0,0.00948482922565261,2.5892269742040956,0.8905079840093103,0.12565445026178013,0.6137843418275871,0.38988805970149254
"frozenset({'435204', '445452'})",frozenset({'469455'}),0.016149255228446763,0.044585987261146494,0.010582275941621947,0.6552795031055901,14.696983141082523,1.0,0.009862245453729417,2.7715613702874857,0.9472563090288022,0.21100000000000002,0.639192546583851,0.44631241746955547
"frozenset({'469455', '445452'})",frozenset({'435204'}),0.013842218767240082,0.052610461908821904,0.010582275941621947,0.7644927536231885,14.531192578162779,1.0,0.009854030418434483,4.022761730971773,0.9442530814846274,0.1894075403949731,0.7514145587343968,0.4828183501195065
"frozenset({'435204', '435267'})",frozenset({'469455'}),0.017754150157981846,0.044585987261146494,0.011284417473293545,0.6355932203389829,14.255447941888617,1.0,0.010492831160517285,2.6218338023996437,0.9466584971491788,0.2210216110019646,0.6185875706214687,0.44434329183428334
"frozenset({'435267', '469455'})",frozenset({'435204'}),0.015346807763679221,0.052610461908821904,0.011284417473293545,0.7352941176470588,13.976195816744237,1.0,0.010477014828020487,3.579027143900005,0.9429205928793359,0.19911504424778761,0.7205944633014666,0.4748920540570851
"frozenset({'1787079', '469455'})",frozenset({'460551'}),0.020813481117408095,0.06008325392446963,0.010632428908169919,0.5108433734939759,8.502258784721525,1.0,0.009381887237140535,1.9215046779376606,0.901140057906476,0.1513204853675946,0.4795745170533262,0.3439024880825472
