window,TP,FP,FN,precision,recall,f1,latency_sec,num_generated,num_ground_truth
1420,15,0,1,1.0,0.9375,0.967741935483871,0.3585493564605713,15,16
1430,15,0,1,1.0,0.9375,0.967741935483871,0.2165207862854004,15,16
1440,14,0,1,1.0,0.9333333333333333,0.9655172413793104,0.1922597885131836,14,15
1450,14,0,1,1.0,0.9333333333333333,0.9655172413793104,0.20975518226623535,14,15
1460,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.30072450637817383,17,18
1470,14,0,1,1.0,0.9333333333333333,0.9655172413793104,0.2036733627319336,14,15
1480,15,0,1,1.0,0.9375,0.967741935483871,0.21164250373840332,15,16
1490,14,0,1,1.0,0.9333333333333333,0.9655172413793104,0.283949613571167,14,15
1500,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.2595374584197998,16,17
1510,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.2933177947998047,16,17
1520,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.3520679473876953,18,19
1530,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.37253808975219727,18,19
1540,19,0,1,1.0,0.95,0.9743589743589743,0.3143007755279541,19,20
1550,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.411151647567749,17,18
1560,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.30498743057250977,16,17
1570,19,0,0,1.0,1.0,1.0,0.32023048400878906,19,19
1580,20,0,0,1.0,1.0,1.0,0.21392154693603516,20,20
1590,22,0,1,1.0,0.9565217391304348,0.9777777777777777,0.24339580535888672,22,23
1600,21,0,1,1.0,0.9545454545454546,0.9767441860465117,0.2667968273162842,21,22
1610,21,0,1,1.0,0.9545454545454546,0.9767441860465117,0.2674715518951416,21,22
1620,21,0,1,1.0,0.9545454545454546,0.9767441860465117,0.22709965705871582,21,22
1630,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.17617273330688477,19,21
1640,20,0,2,1.0,0.9090909090909091,0.9523809523809523,0.18593764305114746,20,22
1650,21,0,2,1.0,0.9130434782608695,0.9545454545454545,0.20630455017089844,21,23
1660,21,0,1,1.0,0.9545454545454546,0.9767441860465117,0.18314862251281738,21,22
1670,20,0,1,1.0,0.9523809523809523,0.975609756097561,0.18973636627197266,20,21
1680,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.15693449974060059,18,19
1690,19,0,1,1.0,0.95,0.9743589743589743,0.17892241477966309,19,20
1700,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.13996386528015137,16,17
1710,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.16180801391601562,17,18
1720,15,0,1,1.0,0.9375,0.967741935483871,0.155487060546875,15,16
1730,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.2078237533569336,18,19
1740,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.2172536849975586,18,19
1750,15,0,1,1.0,0.9375,0.967741935483871,0.1750938892364502,15,16
1760,14,0,1,1.0,0.9333333333333333,0.9655172413793104,0.16217803955078125,14,15
1770,13,0,1,1.0,0.9285714285714286,0.962962962962963,0.15742897987365723,13,14
1780,17,0,2,1.0,0.8947368421052632,0.9444444444444444,0.19386005401611328,17,19
1790,17,0,2,1.0,0.8947368421052632,0.9444444444444444,0.19670772552490234,17,19
1800,22,0,2,1.0,0.9166666666666666,0.9565217391304348,0.24097561836242676,22,24
1810,21,0,2,1.0,0.9130434782608695,0.9545454545454545,0.19973516464233398,21,23
1820,21,0,2,1.0,0.9130434782608695,0.9545454545454545,0.20684051513671875,21,23
1830,18,0,2,1.0,0.9,0.9473684210526316,0.17161226272583008,18,20
1840,18,0,2,1.0,0.9,0.9473684210526316,0.17925477027893066,18,20
1850,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.1716926097869873,19,21
1860,20,0,2,1.0,0.9090909090909091,0.9523809523809523,0.18922781944274902,20,22
